Country,launched_at,Categories,Prct_goal
USA,14/9/23,design,101.65
USA,15/3/05,technology,0.9
USA,12/10/10,music,104.4
USA,13/2/11,music,110
USA,13/12/26,film and video,0
USA,15/3/18,publishing,0
USA,12/3/19,publishing,0
USA,11/6/06,film and video,0.76
USA,13/4/16,publishing,1.5
USA,10/12/02,music,0
USA,11/5/09,music,54.4
USA,16/6/06,art,1.39
USA,15/6/19,publishing,0
USA,17/3/10,crafts,412.33
USA,17/8/02,crafts,609.5
USA,15/5/15,food,0
USA,16/10/10,crafts,143.93
USA,17/1/05,crafts,938
USA,16/5/19,crafts,334.17
USA,17/8/22,games,69.97
USA,12/11/02,technology,114.9
USA,14/10/21,art,10.35
USA,17/5/29,music,113.6
USA,13/11/13,art,202.3
USA,14/7/02,publishing,0.51
USA,13/5/30,technology,4.99
USA,16/8/08,art,0.29
USA,16/6/15,publishing,124.76
USA,11/12/12,publishing,133.32
USA,12/1/24,music,219.26
USA,15/3/23,design,203.48
USA,16/9/17,food,127.59
USA,16/11/13,publishing,6.42
USA,17/8/15,design,0.1
USA,13/4/10,publishing,150.1
USA,15/3/01,publishing,30.95
USA,14/7/19,art,14
USA,17/1/16,art,139.41
USA,13/7/29,music,129.81
USA,15/5/26,technology,0.18
USA,17/7/13,theater,102.2
USA,15/10/18,technology,0.1
USA,16/6/23,fashion,5
USA,15/12/09,publishing,109.33
USA,16/5/31,games,250.38
USA,17/7/18,comics,41.83
USA,10/6/02,music,16
USA,14/8/22,publishing,9.44
USA,16/11/11,photography,5.35
USA,12/6/14,music,0
USA,17/2/19,art,39.23
USA,13/10/11,publishing,0
USA,15/5/07,technology,46.8
USA,15/12/04,technology,0.09
USA,15/11/10,technology,3.98
USA,17/7/13,technology,0.49
USA,17/5/19,fashion,0.03
USA,14/7/16,games,135.02
USA,16/2/23,photography,155.3
USA,13/12/24,publishing,0
USA,12/12/05,music,108.88
USA,12/5/23,music,103.23
USA,14/5/19,photography,1.67
USA,15/11/12,food,0.01
USA,15/3/21,food,17.73
USA,17/3/02,music,0.1
USA,14/10/28,food,0.65
USA,13/2/28,music,117
USA,15/10/01,publishing,0
USA,15/7/23,publishing,0.87
USA,15/9/25,art,0
USA,16/6/06,music,122.53
USA,17/8/24,fashion,0
USA,17/2/14,film and video,0
USA,16/11/07,technology,0
USA,13/5/05,games,305.43
USA,16/8/30,film and video,0.78
USA,11/3/17,music,124.88
USA,16/3/08,photography,0
USA,12/8/02,music,100.04
USA,17/5/04,games,13.72
USA,13/9/04,publishing,2.12
USA,11/11/18,music,123.62
USA,13/5/09,music,109
USA,17/3/15,music,0
USA,16/1/04,technology,0.2
USA,11/1/05,music,101
USA,13/9/29,publishing,107.89
USA,16/12/21,technology,1.05
USA,11/12/28,publishing,0
USA,16/11/09,food,0
USA,14/8/20,food,50
USA,14/7/09,publishing,120
USA,14/9/02,publishing,9.54
USA,16/8/30,fashion,26.92
USA,16/6/28,publishing,15
USA,14/9/16,technology,0.18
USA,15/3/26,publishing,0
USA,13/2/09,music,112.74
USA,16/3/05,publishing,25.04
USA,14/11/02,music,103.67
USA,11/10/16,games,163.82
USA,13/4/01,games,12.1
USA,16/6/04,comics,130.35
USA,17/5/24,fashion,16.78
USA,15/7/22,publishing,0
USA,16/1/13,food,1.73
USA,17/1/05,technology,3.98
USA,14/6/25,technology,1.09
USA,13/4/24,film and video,153.26
USA,16/6/15,technology,12.85
USA,12/2/15,music,141.67
USA,17/6/02,music,20.68
USA,15/11/07,music,147.43
USA,15/2/05,film and video,0
USA,17/1/27,music,210
USA,14/11/10,technology,0.21
USA,17/7/04,food,11.32
USA,15/2/17,photography,0.25
USA,12/7/30,games,0
USA,16/12/13,games,0
USA,14/8/18,publishing,0
USA,15/11/28,photography,0
USA,17/8/08,food,0.72
USA,16/10/04,design,0.08
USA,16/8/02,film and video,0
USA,11/11/27,games,207.08
USA,15/1/30,food,2.01
USA,12/9/08,publishing,0.28
USA,14/3/06,publishing,104.44
USA,14/10/18,music,156.44
USA,15/2/12,publishing,16
USA,15/2/28,publishing,105.67
USA,16/11/03,music,105.4
USA,16/7/01,technology,0.05
USA,15/12/09,technology,0
USA,17/1/27,design,2
USA,15/5/11,film and video,42.55
USA,15/7/01,publishing,0
USA,11/7/03,music,115.64
USA,16/7/19,publishing,0
USA,11/8/02,music,108.17
USA,14/8/29,film and video,1
USA,16/12/15,film and video,106.46
USA,12/11/19,publishing,0
USA,12/9/25,music,103
USA,13/3/27,music,108.38
USA,16/7/19,film and video,0
USA,11/4/19,music,128.4
USA,15/9/15,design,0
USA,14/3/26,publishing,116.17
USA,17/6/16,music,8.18
USA,14/2/18,publishing,1.2
USA,15/6/12,art,2.58
USA,14/7/09,film and video,3.84
USA,12/8/17,publishing,0
USA,16/9/18,publishing,108.7
USA,17/7/05,technology,0
USA,16/10/28,fashion,0
USA,13/6/19,music,10.55
USA,15/4/16,music,125.12
USA,15/1/16,theater,110
USA,12/12/02,film and video,106.77
USA,15/11/30,photography,0.29
USA,15/2/02,publishing,3.79
USA,15/8/07,photography,2442
USA,14/2/28,publishing,12.75
USA,14/4/18,publishing,234.29
USA,15/12/10,technology,0.68
USA,17/2/14,film and video,0.18
USA,15/1/13,photography,1.3
USA,16/5/27,film and video,0.16
USA,15/4/01,technology,0.03
USA,14/10/03,film and video,103
USA,13/8/14,music,109.38
USA,16/5/15,music,115.63
USA,10/10/21,music,10.24
USA,10/2/26,music,129.2
USA,12/12/13,publishing,0.04
USA,11/4/06,music,117.32
USA,17/5/28,crafts,5.68
USA,16/6/06,publishing,355.5
USA,13/6/13,music,101.67
USA,16/1/13,journalism,0
USA,16/9/03,music,0
USA,16/5/17,film and video,0
USA,11/10/06,music,101.32
USA,13/7/09,music,105.53
USA,12/2/10,publishing,182.29
USA,15/4/15,technology,0
USA,17/9/05,games,67.54
USA,16/7/30,publishing,0
USA,17/9/11,publishing,2.5
USA,12/1/10,music,108.75
USA,13/6/28,music,108.03
USA,17/8/14,publishing,104.2
USA,14/3/26,publishing,2.02
USA,15/10/10,music,1.16
USA,15/7/01,art,5
USA,16/7/27,games,5.27
USA,17/5/26,publishing,44.8
USA,12/8/26,art,0
USA,16/2/13,technology,1.14
USA,12/2/10,music,15.71
USA,14/12/09,music,102.75
USA,13/10/03,music,101.92
USA,10/11/30,music,102.64
USA,13/10/21,music,104.67
USA,13/8/20,publishing,6
USA,13/1/08,music,120
USA,15/5/10,food,8.34
USA,13/2/19,publishing,172.62
USA,11/6/07,music,110.5
USA,14/8/19,technology,0
USA,17/1/08,publishing,0
USA,11/11/30,music,170.09
USA,12/6/11,music,102.7
USA,10/12/22,art,181
USA,14/7/11,food,0.04
USA,17/5/11,film and video,5
USA,17/8/19,publishing,19.17
USA,16/6/13,film and video,202.72
USA,16/7/18,comics,245.5
USA,17/5/09,music,46.15
USA,11/12/20,music,13.8
USA,15/3/20,art,102
USA,14/4/25,music,105
USA,15/1/06,music,101.5
USA,17/2/04,fashion,0
USA,15/10/21,publishing,15.71
USA,17/5/10,music,1308
USA,12/2/23,art,10.81
USA,14/10/06,food,1.51
USA,15/7/11,comics,45.67
USA,14/8/20,music,133.92
USA,15/4/23,film and video,0
USA,13/3/28,music,106.75
USA,15/4/14,music,101.25
USA,16/8/30,comics,136.54
USA,14/5/05,music,130
USA,17/2/20,film and video,35.23
USA,13/6/12,art,0
USA,15/11/14,photography,39.83
USA,15/10/19,publishing,269
USA,17/6/08,games,42.35
USA,16/8/23,food,0.13
USA,17/7/11,food,120
USA,17/3/16,film and video,0
USA,16/5/22,journalism,0
USA,13/2/02,music,149
USA,11/7/01,music,13.5
USA,17/7/17,publishing,1
USA,14/9/25,film and video,10.47
USA,14/9/12,technology,3.2
USA,16/8/17,technology,2.87
USA,14/9/23,art,110
USA,15/12/09,technology,40.83
USA,14/8/05,publishing,21.83
USA,16/12/29,publishing,101.05
USA,13/4/22,publishing,1
USA,14/7/22,publishing,0
USA,12/1/19,art,0.46
USA,12/11/07,art,8.04
USA,16/5/11,music,0
USA,13/1/02,music,102.68
USA,13/9/26,film and video,101
USA,14/9/04,theater,143.2
USA,15/4/23,theater,0
USA,16/5/09,technology,0
USA,14/2/04,publishing,1.64
USA,15/3/20,film and video,9.7
USA,17/5/16,art,102
USA,15/3/31,photography,0.52
USA,12/6/20,art,111
USA,11/11/30,art,5
USA,15/11/17,film and video,181.53
USA,15/11/04,film and video,1.67
USA,15/8/01,film and video,7
USA,14/4/18,music,102.4
USA,14/7/20,photography,0
USA,13/6/12,publishing,0
USA,11/9/01,art,27.14
USA,15/9/08,technology,0.03
USA,17/1/12,publishing,278
USA,16/6/15,publishing,0
USA,14/6/10,art,0
USA,16/3/14,technology,10.47
USA,17/1/10,technology,101.03
USA,17/8/27,art,78.85
USA,14/5/30,games,834.28
USA,16/5/28,journalism,0.07
USA,16/2/08,film and video,7.94
USA,15/3/23,art,110
USA,11/11/08,art,0
USA,13/10/17,music,7.7
USA,15/10/15,technology,0
USA,15/2/16,art,35.4
USA,13/12/03,music,112.89
USA,15/3/26,publishing,4.08
USA,17/2/23,dance,118.75
USA,14/11/22,food,13.75
USA,17/6/15,design,3.08
USA,12/9/14,publishing,4.7
USA,15/9/13,music,145.31
USA,16/8/19,film and video,0
USA,12/2/27,publishing,131.43
USA,17/9/10,publishing,0.21
USA,16/7/01,design,381.71
USA,16/9/19,fashion,17
USA,13/5/20,publishing,44.13
USA,13/10/08,film and video,0.64
USA,16/9/30,games,0
USA,16/7/01,games,380.67
USA,13/3/30,music,154.64
USA,13/6/26,technology,52.07
USA,17/9/05,publishing,0
USA,17/3/14,music,105.13
USA,14/5/22,technology,0.49
USA,14/4/24,photography,8.79
USA,14/2/14,music,0
USA,16/5/26,design,32
USA,12/4/19,publishing,0
USA,12/10/02,music,116.56
USA,12/9/10,music,0.16
USA,17/2/26,publishing,150.1
USA,15/5/29,publishing,5.71
USA,16/5/02,photography,0
USA,13/12/23,film and video,174.44
USA,15/5/19,publishing,245.25
USA,10/4/25,art,10.83
USA,16/4/17,music,101.02
USA,15/2/01,music,119.53
USA,17/8/01,technology,10.24
USA,13/4/12,publishing,144.32
USA,14/7/11,games,0
USA,13/2/26,publishing,2.39
USA,14/3/10,music,33.4
USA,17/2/28,design,143.01
USA,17/2/03,technology,0
USA,16/1/21,technology,0.9
USA,15/6/29,technology,1.73
USA,15/8/26,technology,0.29
USA,11/6/23,publishing,111.11
USA,14/2/14,music,112.5
USA,17/7/24,film and video,104.1
USA,17/8/28,comics,272.49
USA,11/12/06,art,121.5
USA,14/5/23,food,0.29
USA,16/4/29,games,108.66
USA,15/1/22,technology,1.34
USA,11/4/19,games,100.83
USA,17/8/23,film and video,187.37
USA,14/9/15,music,0
USA,15/5/06,publishing,1
USA,15/6/16,photography,30
USA,17/2/04,technology,0
USA,15/1/23,music,46.67
USA,17/7/09,design,2.66
USA,15/2/24,music,0
USA,16/2/02,technology,0
USA,15/4/01,music,104.05
USA,14/11/24,technology,115.15
USA,14/1/18,art,113
USA,14/4/15,publishing,112.87
USA,15/12/13,publishing,426.75
