"","subregion","region","TotalBackers","MeanBackers","MedianBackers","MeanUSD","TotalUSD","MedianUSD"
"363","hancock","ohio",546,42,24,3108.29538461538,40407.84,1755.01
"364","hancock","west virginia",140,23.3333333333333,10.5,950.166666666667,5701,333
"365","hanover","virginia",70,7.77777777777778,4,548.888888888889,4940,100
"366","hardin","kentucky",315,18.5294117647059,2,2185.61176470588,37155.4,100
"367","harford","maryland",10,2,1,95.8,479,56
"368","harris","texas",123715,93.2993966817496,4,7653.5687254902,10148632.13,160
"369","harrison","texas",218,31.1428571428571,4,2381.63714285714,16671.46,1155
"370","harrison","west virginia",66,16.5,3.5,1303.71,5214.84,140.5
"371","hartford","connecticut",8999,52.625730994152,10,4145.34900584795,708854.68,462
"372","hays","texas",3222,214.8,157,8483.88066666667,127258.21,6250
"373","haywood","north carolina",56,14,9.5,2435,9740,517.5
"374","hempstead","arkansas",2,1,1,27.5,55,27.5
"375","hendricks","indiana",4,2,2,10,20,10
"376","hennepin","minnesota",134187,95.7111269614836,26,9150.13062054208,12828483.13,1257.5
"377","henrico","virginia",27513,65.6634844868735,9,4459.10233890215,1868363.88,427
"378","henry","georgia",2080,148.571428571429,12,6315.71428571429,88420,755
"379","henry","illinois",3,1.5,1.5,20,40,20
"380","henry","ohio",25,12.5,12.5,1043.5,2087,1043.5
"381","henry","virginia",1437,89.8125,24,8172.5,130760,804.5
"382","hernando","florida",323,17,1,963.246842105263,18301.69,1
"383","hidalgo","texas",247,9.14814814814815,3,426.333333333333,11511,75
"384","highlands","florida",46,9.2,2,231.38,1156.9,100
"385","hillsborough","florida",6050,151.25,4.5,10538.095,421523.8,103
"386","hillsborough","new hampshire",7669,72.3490566037736,19,5401.64226415094,572574.08,1359.5
"387","hinds","mississippi",6835,52.984496124031,6,5027.43240310078,648538.78,436
"388","hockley","texas",0,0,0,0,0,0
"389","hopkins","kentucky",46,6.57142857142857,1,358.285714285714,2508,20
"390","hopkins","texas",17,8.5,8.5,280,560,280
"391","horry","south carolina",2613,39.5909090909091,3,9621.80378787879,635039.05,68
"392","hot spring","arkansas",885,68.0769230769231,32,4162.80846153846,54116.51,1682
